Algorithm,Iteration,Time_sec,PSNR,SSIM
FISTA,238,293.201,21.67,0.3911
FISTA,239,293.516,21.67,0.3911
FISTA,241,294.076,21.67,0.3911
FISTA,243,294.584,21.67,0.3910
FISTA,245,295.054,21.67,0.3912
FISTA,247,295.576,21.67,0.3910
FISTA,249,296.028,21.67,0.3911
FISTA,251,296.561,21.67,0.3911
FISTA,253,297.075,21.67,0.3912
FISTA,255,297.547,21.67,0.3910
FISTA,257,298.028,21.67,0.3911
FISTA,259,298.548,21.67,0.3910
FISTA,261,299.327,21.67,0.3911
FISTA,262,299.695,21.67,0.3910
FISTA,264,300.150,21.67,0.3910
FISTA,266,300.617,21.67,0.3911
FISTA,268,301.087,21.67,0.3912
FISTA,270,301.606,21.67,0.3910
FISTA,272,302.084,21.67,0.3910
FISTA,274,302.542,21.67,0.3911
FISTA,276,303.031,21.67,0.3910
FISTA,279,303.733,21.67,0.3910
FISTA,281,304.194,21.67,0.3910
FISTA,283,304.655,21.67,0.3910
FISTA,285,305.120,21.67,0.3910
FISTA,287,305.555,21.67,0.3910
FISTA,289,306.035,21.67,0.3911
FISTA,292,306.714,21.67,0.3910
FISTA,294,307.222,21.67,0.3912
FISTA,296,307.693,21.67,0.3911
FISTA,298,308.248,21.67,0.3910
FISTA,300,308.708,21.67,0.3910
FISTA,302,309.172,21.67,0.3911
FISTA,304,309.639,21.67,0.3910
FISTA,306,310.115,21.67,0.3910
FISTA,308,310.591,21.67,0.3911
FISTA,310,311.097,21.67,0.3910
FISTA,312,311.532,21.67,0.3910
FISTA,315,312.226,21.67,0.3911
FISTA,317,312.705,21.67,0.3910
FISTA,319,313.167,21.67,0.3911
FISTA,321,313.629,21.67,0.3911
FISTA,323,314.097,21.67,0.3910
FISTA,325,314.585,21.67,0.3911
FISTA,327,315.039,21.67,0.3911
FISTA,329,315.510,21.67,0.3911
FISTA,332,316.210,21.67,0.3910
FISTA,333,316.535,21.67,0.3911
FISTA,335,317.200,21.67,0.3910
FISTA,337,317.705,21.67,0.3911
FISTA,339,318.169,21.67,0.3910
FISTA,341,318.616,21.67,0.3911
FISTA,343,319.087,21.67,0.3911
FISTA,345,319.524,21.67,0.3910
FISTA,348,320.220,21.67,0.3910
FISTA,350,320.683,21.67,0.3911
FISTA,352,321.200,21.67,0.3910
FISTA,354,321.665,21.67,0.3909
FISTA,356,322.171,21.67,0.3911
FISTA,358,322.647,21.67,0.3909
FISTA,360,323.134,21.67,0.3910
FISTA,362,323.591,21.67,0.3910
FISTA,364,324.245,21.67,0.3911
FISTA,365,324.507,21.67,0.3912
FISTA,367,325.135,21.67,0.3911
FISTA,369,325.684,21.67,0.3911
FISTA,371,326.152,21.67,0.3911
FISTA,373,326.657,21.67,0.3911
FISTA,375,327.155,21.67,0.3910
FISTA,377,327.637,21.67,0.3911
FISTA,379,328.128,21.67,0.3910
FISTA,381,328.616,21.67,0.3911
FISTA,383,329.112,21.67,0.3911
FISTA,385,329.610,21.67,0.3910
FISTA,387,330.075,21.67,0.3911
FISTA,389,330.540,21.67,0.3910
FISTA,391,331.018,21.67,0.3911
FISTA,393,331.540,21.67,0.3910
FISTA,395,332.065,21.67,0.3909
FISTA,397,332.589,21.67,0.3911
FISTA,399,333.038,21.67,0.3911
FISTA,400,333.284,21.67,0.3909
FISTA,401,333.533,21.67,0.3911
FISTA,403,334.073,21.67,0.3911
FISTA,405,334.571,21.67,0.3911
FISTA,407,335.103,21.67,0.3910
FISTA,409,335.665,21.67,0.3911
FISTA,411,336.171,21.67,0.3910
FISTA,413,336.720,21.67,0.3911
FISTA,415,337.234,21.67,0.3910
FISTA,417,337.724,21.67,0.3911
FISTA,419,338.195,21.67,0.3911
FISTA,421,338.681,21.67,0.3911
FISTA,423,339.135,21.67,0.3910
FISTA,425,339.591,21.67,0.3911
FISTA,427,340.018,21.67,0.3911
FISTA,429,340.500,21.67,0.3911
FISTA,432,341.192,21.67,0.3910
FISTA,434,341.626,21.67,0.3910
FISTA,436,342.074,21.67,0.3911
FISTA,438,342.516,21.67,0.3911
FISTA,440,343.001,21.67,0.3910
FISTA,443,343.686,21.67,0.3910
FISTA,445,344.177,21.67,0.3910
FISTA,447,344.790,21.67,0.3910
FISTA,448,345.048,21.67,0.3910
FISTA,450,345.509,21.67,0.3909
FISTA,453,346.139,21.67,0.3910
FISTA,455,346.581,21.67,0.3910
FISTA,457,347.064,21.67,0.3911
FISTA,459,347.527,21.67,0.3910
FISTA,461,348.004,21.67,0.3911
FISTA,464,348.701,21.67,0.3911
FISTA,466,349.167,21.67,0.3911
FISTA,468,349.648,21.67,0.3912
FISTA,470,350.116,21.67,0.3910
FISTA,472,350.564,21.67,0.3911
FISTA,474,351.004,21.67,0.3910
FISTA,477,351.704,21.67,0.3910
FISTA,479,352.152,21.67,0.3911
FISTA,481,352.608,21.67,0.3910
FISTA,483,353.043,21.67,0.3911
FISTA,486,353.731,21.67,0.3911
FISTA,488,354.201,21.67,0.3912
FISTA,490,354.663,21.67,0.3911
FISTA,492,355.108,21.67,0.3911
FISTA,494,355.562,21.67,0.3911
FISTA,496,356.029,21.67,0.3910
FISTA,499,356.710,21.67,0.3910
FISTA,500,356.942,21.67,0.3911

"Threshold Hits (PSNR -> Iter, Time)"
Algorithm,Threshold(dB),Hit_Iteration,Hit_Time_sec
AMDD,20,1,1.262
AMDD,23,3,1.293
AMDD,25,Did Not Hit,N/A
ISTA,20,2,10.864
ISTA,23,Did Not Hit,N/A
ISTA,25,Did Not Hit,N/A
FISTA,20,2,1.694
FISTA,23,Did Not Hit,N/A
FISTA,25,Did Not Hit,N/A

BM3D Quick Profile
Time_sec,Final_PSNR,Final_SSIM
3.031,20.43,0.4003
